text_chunk,year
"John loved fishing at Lake Michigan every summer with his family.",1985
"He proposed to Mary at the top of the Empire State Building during a trip to New York.",1972
"John served in the Navy for 4 years before becoming a teacher.",1968
"His favorite saying was 'Every day is a gift, that's why they call it the present.'",Unknown
"He coached the Little League team to three consecutive championships.",1995
"John built the family dining table by hand from oak wood he sourced locally.",1988
"He always made pancakes on Sunday mornings for the whole family.",Unknown
"John's favorite book was 'To Kill a Mockingbird' which he read to his children every year.",Unknown
"He volunteered at the local soup kitchen every Thanksgiving for 20 years.",1990
"John learned to play guitar at age 50 and would play at family gatherings.",2000
